iter	RMSE
1089	2.122242551
1090	2.122203313
1091	2.122146436
1092	2.122093397
1093	2.122060157
1094	2.122021997
1095	2.121928272
1096	2.121909311
1097	2.121875108
1098	2.121820622
1099	2.121724849
1100	2.121645634
1101	2.121591022
1102	2.121524766
1103	2.121425138
1104	2.121376403
1105	2.12130918
1106	2.121244235
1107	2.12118229
1108	2.121107377
1109	2.121040506
1110	2.120977594
1111	2.120900393
1112	2.12085957
1113	2.120814183
1114	2.120801216
1115	2.120751025
1116	2.120694469
1117	2.120601767
1118	2.120554453
1119	2.120496451
1120	2.12044193
1121	2.120413228
1122	2.120359785
1123	2.120286405
1124	2.120201371
